trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-100,-243.92180399134094,"{0: 64, 1: 61, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-100,-236.5539826235487,"{0: 61, 1: 59, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,-100,-183.78076604539785,"{0: 66, 1: 64, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-100,-230.8823607796673,"{0: 61, 1: 59, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,-100,-196.63730379630925,"{0: 62, 1: 63, 2: 0, 3: 0, 4: 0}",0
