trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.1, 'e': 0.4902608213406994}",25,0,-6.035887225596696,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
43,False,"{'a': 0.1, 'e': 0.40079917207997545}",20,0,-26.68203313767584,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
44,False,"{'a': 0.1, 'e': 0.30733286997841935}",25,14,-28.20914069319502,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 0}",1
45,False,"{'a': 0.1, 'e': 0.2107957994307797}",20,6,-10.986648155845847,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
46,False,"{'a': 0.1, 'e': 0.11215252693505398}",20,0,6.751570838928538,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.1, 'e': 0.01238866346289056}",20,0,10.815682487055344,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
48,False,"{'a': 0.1, 'e': 0.08749898343944727}",30,0,-3.799050857443131,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
49,False,"{'a': 0.1, 'e': 0.18651236942257576}",25,8,32.137496896353944,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.1, 'e': 0.28366218546322625}",20,12,14.022049786791401,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.1, 'e': 0.37797774271298107}",30,0,-99.55269456249097,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
52,False,"{'a': 0.1, 'e': 0.4685166713003771}",30,17,11.4195486581978,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.1, 'e': 0.5543743361791615}",25,11,-2.9653868086802944,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.1, 'e': 0.6346928759426347}",20,7,2.2231489399846183,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.1, 'e': 0.70866977429126}",20,0,-64.74216697770056,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
56,False,"{'a': 0.1, 'e': 0.7755658785102502}",20,1,-29.478730162256536,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
57,False,"{'a': 0.1, 'e': 0.8347127848391598}",20,0,-171.79876009566738,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
58,False,"{'a': 0.1, 'e': 0.8855195169413194}",25,0,-36.94521523125782,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
59,False,"{'a': 0.1, 'e': 0.9274784307440359}",30,0,-351.75967561221466,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 6}",0
60,False,"{'a': 0.1, 'e': 0.960170286650366}",20,8,-70.25722526291001,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
61,False,"{'a': 0.1, 'e': 0.9832684384425847}",20,0,-38.7709373244772,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
62,False,"{'a': 0.1, 'e': 0.9965420970232175}",25,0,-195.08732997595672,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
63,False,"{'a': 0.1, 'e': 0.9998586363834151}",20,0,-136.80775908132367,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
64,False,"{'a': 0.1, 'e': 0.9931849187581926}",25,0,-129.3120154329213,"{0: 15, 1: 4, 2: 2, 3: 3, 4: 1}",0
65,False,"{'a': 0.1, 'e': 0.9765876257280235}",25,0,-134.2704738222987,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
66,False,"{'a': 0.1, 'e': 0.9502325919585293}",20,0,-22.95839705552235,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
67,False,"{'a': 0.1, 'e': 0.9143831482353194}",30,0,-160.4423686203998,"{0: 16, 1: 4, 2: 6, 3: 3, 4: 1}",0
68,False,"{'a': 0.1, 'e': 0.8693974903498248}",30,6,-116.11607930270348,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 1}",1
69,False,"{'a': 0.1, 'e': 0.8157251001253568}",25,0,-31.373559278270097,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
70,False,"{'a': 0.1, 'e': 0.7539022543433046}",25,0,-16.83465480069718,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
71,False,"{'a': 0.1, 'e': 0.6845466664428059}",20,0,-86.0935177929078,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
72,False,"{'a': 0.1, 'e': 0.6083513145322546}",25,0,-56.178455332775954,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
73,False,"{'a': 0.1, 'e': 0.5260775173811045}",25,0,-127.4499328454218,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
74,False,"{'a': 0.1, 'e': 0.43854732757439036}",20,9,-29.717203590861864,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
75,False,"{'a': 0.1, 'e': 0.3466353178350258}",25,0,-56.16934651506501,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
76,False,"{'a': 0.1, 'e': 0.25125984258225487}",25,12,-72.62726078046018,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
77,False,"{'a': 0.1, 'e': 0.15337386203786435}",20,0,2.086075922596596,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
78,False,"{'a': 0.1, 'e': 0.05395542056264886}",25,11,7.816002004026187,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.1, 'e': 0.04600212563953695}",20,0,10.824736999585872,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
80,False,"{'a': 0.1, 'e': 0.14550003380861354}",20,6,-20.35655940271353,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.1, 'e': 0.2435441537357911}",20,9,6.361537098121984,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.1, 'e': 0.3391548609838362}",30,8,-25.582951038798196,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.1, 'e': 0.4313768449706208}",30,11,-72.09134611023875,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
84,False,"{'a': 0.1, 'e': 0.5192886541166856}",25,19,12.04987039593308,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.1, 'e': 0.6020119026848236}",25,0,7.813226767875113,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
86,False,"{'a': 0.1, 'e': 0.6787200473200125}",25,12,-9.835460917728593,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.1, 'e': 0.7486466455973999}",20,13,-0.46884801245108587,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.1, 'e': 0.811093014061656}",20,5,-78.74238001449602,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 1}",1
89,False,"{'a': 0.1, 'e': 0.8654352092411123}",25,0,-149.87411424537765,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
90,False,"{'a': 0.1, 'e': 0.9111302618846769}",20,0,-152.86125108641423,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
91,False,"{'a': 0.1, 'e': 0.9477216021311119}",25,0,-172.05396358623895,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
92,False,"{'a': 0.1, 'e': 0.974843621404164}",20,6,-123.11037269163506,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 2}",1
93,False,"{'a': 0.1, 'e': 0.9922253254526034}",20,0,-78.49227500612812,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
94,False,"{'a': 0.1, 'e': 0.9996930420352065}",35,0,-190.48790234054005,"{0: 17, 1: 6, 2: 8, 3: 3, 4: 1}",0
95,False,"{'a': 0.1, 'e': 0.9971721561963784}",20,0,-95.95433043055677,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
96,False,"{'a': 0.1, 'e': 0.9846878557941267}",20,9,-68.61556527045812,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 1}",1
97,False,"{'a': 0.1, 'e': 0.9623648798313097}",20,0,-129.31247638344865,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
98,False,"{'a': 0.1, 'e': 0.9304262721047533}",20,0,-70.56456226040916,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
